date,Energy
1/1/1973,1932.187
2/1/1973,1687.255
3/1/1973,1497.067
4/1/1973,1177.661
5/1/1973,1015.008
6/1/1973,933.663
7/1/1973,981.183
8/1/1973,1018.978
9/1/1973,956.55
10/1/1973,991.668
11/1/1973,1197.249
12/1/1973,1507.395
1/1/1974,1823.499
2/1/1974,1562.936
3/1/1974,1436.363
4/1/1974,1215.416
5/1/1974,1010.945
6/1/1974,936.124
7/1/1974,1013.51
8/1/1974,987.592
9/1/1974,919.805
10/1/1974,999.326
11/1/1974,1141.133
12/1/1974,1607.437
1/1/1975,1758.226
2/1/1975,1615.051
3/1/1975,1538.328
4/1/1975,1366.55
5/1/1975,1034.664
6/1/1975,936.766
7/1/1975,1003.672
8/1/1975,1012.72
9/1/1975,926.799
10/1/1975,954.616
11/1/1975,1065.259
12/1/1975,1598.15
1/1/1976,1986.659
2/1/1976,1674.363
3/1/1976,1434.389
4/1/1976,1163.868
5/1/1976,1009.166
6/1/1976,964.724
7/1/1976,1006.965
8/1/1976,1002.932
9/1/1976,923.155
10/1/1976,1005.253
11/1/1976,1372.664
12/1/1976,1863.448
1/1/1977,2239.681
2/1/1977,1869.527
3/1/1977,1441.002
4/1/1977,1132.077
5/1/1977,979.115
6/1/1977,971.294
7/1/1977,1084.85
8/1/1977,1065.597
9/1/1977,974.452
10/1/1977,1018.153
11/1/1977,1173.632
12/1/1977,1708.154
1/1/1978,2000.053
2/1/1978,1924.551
3/1/1978,1696.087
4/1/1978,1206.671
5/1/1978,1081.209
6/1/1978,1006.572
7/1/1978,1091.233
8/1/1978,1118.362
9/1/1978,1037.052
10/1/1978,1050.203
11/1/1978,1223.173
12/1/1978,1692.701
1/1/1979,2087.712
2/1/1979,1987.811
3/1/1979,1608.938
4/1/1979,1240.043
5/1/1979,1030.974
6/1/1979,956.854
7/1/1979,1038.818
8/1/1979,1087.877
9/1/1979,973.422
10/1/1979,1016.045
11/1/1979,1205.234
12/1/1979,1576.952
1/1/1980,1826.947
2/1/1980,1779.042
3/1/1980,1603.835
4/1/1980,1209.233
5/1/1980,1016.289
6/1/1980,1003.445
7/1/1980,1163.408
8/1/1980,1168.734
9/1/1980,1041.657
10/1/1980,1043.756
11/1/1980,1226.25
12/1/1980,1670.298
1/1/1981,2014.965
2/1/1981,1683.398
3/1/1981,1440.933
4/1/1981,1108.806
5/1/1981,996.568
6/1/1981,1011.218
7/1/1981,1125.714
8/1/1981,1086.1
9/1/1981,951.551
10/1/1981,1049.961
11/1/1981,1180.761
12/1/1981,1605.626
1/1/1982,2037.891
2/1/1982,1742.925
3/1/1982,1533.826
4/1/1982,1294.481
5/1/1982,1009.215
6/1/1982,968.998
7/1/1982,1104.857
8/1/1982,1099.316
9/1/1982,1022.053
10/1/1982,1005.641
11/1/1982,1168.342
12/1/1982,1539.935
1/1/1983,1922.144
2/1/1983,1580.016
3/1/1983,1490.168
4/1/1983,1273.99
5/1/1983,1034.261
6/1/1983,978.628
7/1/1983,1141.32
8/1/1983,1213.98
9/1/1983,1056.284
10/1/1983,976.307
11/1/1983,1130.908
12/1/1983,1625.005
1/1/1984,2129.572
2/1/1984,1675.856
3/1/1984,1589.806
4/1/1984,1291.656
5/1/1984,1108.134
6/1/1984,1052.346
7/1/1984,1132.58
8/1/1984,1168.674
9/1/1984,1028.098
10/1/1984,1008.054
11/1/1984,1187.911
12/1/1984,1582.196
1/1/1985,1953.435
2/1/1985,1913.52
3/1/1985,1516.21
4/1/1985,1206.396
5/1/1985,1014.664
6/1/1985,1035.519
7/1/1985,1149.519
8/1/1985,1156.849
9/1/1985,1064.453
10/1/1985,1055.261
11/1/1985,1180.795
12/1/1985,1795.12
1/1/1986,1981.74
2/1/1986,1684.176
3/1/1986,1539.834
4/1/1986,1180.938
5/1/1986,1057.117
6/1/1986,1057.373
7/1/1986,1249.832
8/1/1986,1187.564
9/1/1986,1049.093
10/1/1986,1078.56
11/1/1986,1229.547
12/1/1986,1675.117
1/1/1987,1931.481
2/1/1987,1681.156
3/1/1987,1554.99
4/1/1987,1250.069
5/1/1987,1079.592
6/1/1987,1112.209
7/1/1987,1268.777
8/1/1987,1271.368
9/1/1987,1079.85
10/1/1987,1104.985
11/1/1987,1243.133
12/1/1987,1686.844
1/1/1988,2133.93
2/1/1988,1859.792
3/1/1988,1630.123
4/1/1988,1260.376
5/1/1988,1108.817
6/1/1988,1121.331
7/1/1988,1312.656
8/1/1988,1373.343
9/1/1988,1116.235
10/1/1988,1134.134
11/1/1988,1317.127
12/1/1988,1765.873
1/1/1989,1972.901
2/1/1989,1847.716
3/1/1989,1771.292
4/1/1989,1339.678
5/1/1989,1174.664
6/1/1989,1175.186
7/1/1989,1320.749
8/1/1989,1320.052
9/1/1989,1181.052
10/1/1989,1183.273
11/1/1989,1381.642
12/1/1989,2117.385
1/1/1990,2018.873
2/1/1990,1640.318
3/1/1990,1559.299
4/1/1990,1299.989
5/1/1990,1143.425
6/1/1990,1195.702
7/1/1990,1335.229
8/1/1990,1323.602
9/1/1990,1214.948
10/1/1990,1161.089
11/1/1990,1291.724
12/1/1990,1752.015
1/1/1991,2137.651
2/1/1991,1686.347
3/1/1991,1599.782
4/1/1991,1270.004
5/1/1991,1183.093
6/1/1991,1229.203
7/1/1991,1389.097
8/1/1991,1341.41
9/1/1991,1184.308
10/1/1991,1163.795
11/1/1991,1436.667
12/1/1991,1797.696
1/1/1992,2043.668
2/1/1992,1768.806
3/1/1992,1598.694
4/1/1992,1356.826
5/1/1992,1144.447
6/1/1992,1136.558
7/1/1992,1326.186
8/1/1992,1270.474
9/1/1992,1175.68
10/1/1992,1177.452
11/1/1992,1411.927
12/1/1992,1945.747
1/1/1993,2098.323
2/1/1993,1870.669
3/1/1993,1841.005
4/1/1993,1382.034
5/1/1993,1122.563
6/1/1993,1210.651
7/1/1993,1468.011
8/1/1993,1455.814
9/1/1993,1230.428
10/1/1993,1188.861
11/1/1993,1448.551
12/1/1993,1901.599
1/1/1994,2341.908
2/1/1994,1982.775
3/1/1994,1708.92
4/1/1994,1308.689
5/1/1994,1168.502
6/1/1994,1280.677
7/1/1994,1441.034
8/1/1994,1371.341
9/1/1994,1178.557
10/1/1994,1169.429
11/1/1994,1353.279
12/1/1994,1802.827
1/1/1995,2087.712
2/1/1995,1867.035
3/1/1995,1659.645
4/1/1995,1337.906
5/1/1995,1216.8
6/1/1995,1256.61
7/1/1995,1494.523
8/1/1995,1593.844
9/1/1995,1264.332
10/1/1995,1193.962
11/1/1995,1525.005
12/1/1995,2025.068
1/1/1996,2360.117
2/1/1996,2074.393
3/1/1996,1867.543
4/1/1996,1457.276
5/1/1996,1307.606
6/1/1996,1352.395
7/1/1996,1498.555
8/1/1996,1472.28
9/1/1996,1265.862
10/1/1996,1251.312
11/1/1996,1585.825
12/1/1996,2003.295
1/1/1997,2297.666
2/1/1997,1880.272
3/1/1997,1693.395
4/1/1997,1388.371
5/1/1997,1243.879
6/1/1997,1268.456
7/1/1997,1556.224
8/1/1997,1485.082
9/1/1997,1299.826
10/1/1997,1297.066
11/1/1997,1543.147
12/1/1997,2008.927
1/1/1998,2130.88
2/1/1998,1770.693
3/1/1998,1793.406
4/1/1998,1362.072
5/1/1998,1286.097
6/1/1998,1439.569
7/1/1998,1679.458
8/1/1998,1616.214
9/1/1998,1393.621
10/1/1998,1282.346
11/1/1998,1372.206
12/1/1998,1833.012
1/1/1999,2368.789
2/1/1999,1829.538
3/1/1999,1879.344
4/1/1999,1450.195
5/1/1999,1288.434
6/1/1999,1411.676
7/1/1999,1711.599
8/1/1999,1675.498
9/1/1999,1364.198
10/1/1999,1281.463
11/1/1999,1386.007
12/1/1999,1912.182
1/1/2000,2347.881
2/1/2000,2050.601
3/1/2000,1707.406
4/1/2000,1429.045
5/1/2000,1381.632
6/1/2000,1481.253
7/1/2000,1627.576
8/1/2000,1679.834
9/1/2000,1412.682
10/1/2000,1326.779
11/1/2000,1580.523
12/1/2000,2389.063
1/1/2001,2566.679
2/1/2001,2014.723
3/1/2001,1915.617
4/1/2001,1466.162
5/1/2001,1282.635
6/1/2001,1413.466
7/1/2001,1643.536
8/1/2001,1711.547
9/1/2001,1369.784
10/1/2001,1330.883
11/1/2001,1416.486
12/1/2001,1899.64
1/1/2002,2293.562
2/1/2002,1915.64
3/1/2002,1904.418
4/1/2002,1507.447
5/1/2002,1386.236
6/1/2002,1517.199
7/1/2002,1768.528
8/1/2002,1733.811
9/1/2002,1486.393
10/1/2002,1422.708
11/1/2002,1642.808
12/1/2002,2205.654
1/1/2003,2568.58
2/1/2003,2253.938
3/1/2003,1956.306
4/1/2003,1489.756
5/1/2003,1385.594
6/1/2003,1428.232
7/1/2003,1711.128
8/1/2003,1737.104
9/1/2003,1463.485
10/1/2003,1366.571
11/1/2003,1543.595
12/1/2003,2209.057
